0,1,Industry,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",4.0,5.0,6.0,7.0,7.0,7.0,10.0,,,,,
 ,10-49 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",4.0,4.0,4.0,6.0,5.0,6.0,6.0,,9.0,,5.0,
 , ,10-39 Manufacturing,0.0,2.0,1.0,2.0,2.0,0.0,2.0,,3.0,,2.0,
 , ,41-43 Construction,,,1.0,0.0,,,,,1.0,,1.0,
 , ,45-56 Trade and transport etc.,3.0,1.0,1.0,2.0,2.0,3.0,3.0,,4.0,,3.0,
 , ,58-63 Information and communication,30.0,33.0,41.0,46.0,49.0,51.0,44.0,,56.0,,29.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,10.0,,6.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",3.0,4.0,4.0,6.0,3.0,4.0,7.0,,,,,
 ,50-99 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",6.0,7.0,8.0,10.0,12.0,15.0,13.0,,16.0,,13.0,
 , ,10-39 Manufacturing,2.0,2.0,6.0,5.0,7.0,8.0,6.0,,7.0,,9.0,
 , ,41-43 Construction,,2.0,2.0,2.0,,,,,4.0,,1.0,
 , ,45-56 Trade and transport etc.,5.0,6.0,5.0,9.0,11.0,13.0,10.0,,15.0,,10.0,
 , ,58-63 Information and communication,,,,,,,,,,,48.0,
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",,,,,,,,,16.0,,15.0,
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",8.0,12.0,9.0,8.0,12.0,19.0,19.0,,,,,
 ,100-249 employees,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",10.0,8.0,13.0,15.0,18.0,19.0,18.0,,26.0,,20.0,
 , ,10-39 Manufacturing,7.0,6.0,9.0,11.0,15.0,13.0,15.0,,19.0,,20.0,
 , ,41-43 Construction,9.0,3.0,2.0,4.0,11.0,6.0,4.0,,8.0,,9.0,
 , ,45-56 Trade and transport etc.,11.0,8.0,12.0,11.0,15.0,18.0,14.0,,25.0,,20.0,
