 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,..,26,..,16,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",7,8,9,16,20,21,20,..,..,..,..,..
 ,250 employees and over,,,,,,,,,,,,,
 , ,"All enterprises within the private, non-financial urban trades",20,22,29,34,39,41,40,..,51,..,43,..
 , ,10-39 Manufacturing,19,19,23,32,37,37,40,..,49,..,42,..
 , ,41-43 Construction,8,4,14,4,10,19,21,..,31,..,32,..
 , ,45-56 Trade and transport etc.,19,27,26,31,36,40,37,..,51,..,38,..
 , ,58-63 Information and communication,25,39,50,69,70,77,75,..,74,..,69,..
 , ,"68-75, 77-82, 95.1 Other business services (2021-)",..,..,..,..,..,..,..,..,48,..,46,..
 , ,"68-74, 77-82, 95.1 Other business services (-2020)",27,16,44,39,47,40,35,..,..,..,..,..
The reference period for access to ICT skills is the previous ,,,,,,,,,,,,,,
calendar year ,,,,,,,,,,,,,,
